time, S_all, I_all, R_all, IR_all, S_c, S_a, S_e, I_c, I_a, I_e, R_c, R_a, R_e
112.30000000000001, 127442112.42368671, 0.03456947887969393, 1380.5417437856004, 0.1528624058871967, 15758411.583741767, 76498957.86652999, 35184742.97341495, 0.000311128884721582, 0.021778791497541534, 0.012479558497430817, 12.415947103106738, 870.1116912079312, 498.01410547456237
112.4, 127442112.42332914, 0.034211905403518705, 1380.542458923769, 0.1512783505430013, 15758411.583738549, 76498957.86630473, 35184742.97328587, 0.0003079106864749285, 0.021553520002509412, 0.012350474714534366, 12.415953539424207, 870.112141745387, 498.0143636389576
112.5, 127442112.42297527, 0.03385803475516862, 1380.5431666563727, 0.14971071244858639, 15758411.583735364, 76498957.86608179, 35184742.97315813, 0.00030472581406113913, 0.021330581291134715, 0.012222727649972759, 12.415959909090828, 870.1125876173329, 498.014619129949
112.60000000000001, 127442112.42262508, 0.033507819469837, 1380.5438670783403, 0.1481593217348077, 15758411.583732212, 76498957.86586116, 35184742.9730317, 0.0003015738402920638, 0.021109945460561795, 0.012096300168983136, 12.415966212960969, 870.1130288835737, 498.01487198180564
112.7, 127442112.42227846, 0.03316121208271733, 1380.5445602846003, 0.14662401026460067, 15758411.583729094, 76498957.8656428, 35184742.97290658, 0.00029845433797955393, 0.02089158260793509, 0.011971175136802684, 12.415972451888992, 870.1134656039145, 498.01512222879666
112.80000000000001, 127442112.42193544, 0.032818165129002916, 1380.5452463700806, 0.14510461161383312, 15758411.583726006, 76498957.86542669, 35184742.972782746, 0.0002953668799354589, 0.020675462830398925, 0.01184733541866853, 12.415978626729267, 870.1138978381601, 498.01536990519116
112.9, 127442112.4215959, 0.0324786311438872, 1380.5459254297102, 0.14360096105261963, 15758411.58372295, 76498957.86521278, 35184742.97266018, 0.00029231103897163003, 0.02046155622509772, 0.011724763879817848, 12.415984738336155, 870.1143256461157, 498.01561504525824
113.0, 127442112.42125985, 0.032142562662563545, 1380.5465975584173, 0.14211289552709017, 15758411.583719926, 76498957.86500107, 35184742.97253886, 0.0002892863878999172, 0.02024983288917584, 0.01160344338548779, 12.415990787564025, 870.1147490875862, 498.015857683267
113.10000000000001, 127442112.4209272, 0.03180991222022528, 1380.5472628511304, 0.14064025364161536, 15758411.58371693, 76498957.8647915, 35184742.97241878, 0.00028629249953217046, 0.02004026291977762, 0.01148335680091549, 12.415996775267244, 870.1151682223766, 498.01609785348654
113.2, 127442112.42059794, 0.03148063235206588, 1380.5479214027778, 0.13918287564147871, 15758411.583713967, 76498957.86458406, 35184742.97229991, 0.00028332894668024104, 0.019832816414047504, 0.011364486991338131, 12.416002702300174, 870.1155831102917, 498.016335590186
113.30000000000001, 127442112.42027198, 0.031154675593278627, 1380.5485733082883, 0.13774060339598154, 15758411.583711034, 76498957.8643787, 35184742.972182244, 0.0002803953021559785, 0.01962746346912981, 0.011246816821992838, 12.416008569517185, 870.1159938111367, 498.0165709276344
113.4, 127442112.4199493, 0.030831994479057004, 1380.5492186625902, 0.13631328038197843, 15758411.58370813, 76498957.86417542, 35184742.972065754, 0.00027749113877123397, 0.01942417418216897, 0.011130329158116799, 12.416014377772639, 870.1164003847165, 498.01680390010097
113.5, 127442112.41963, 0.030512674342298277, 1380.5498572950194, 0.13490075166782156, 15758411.583705258, 76498957.86397426, 35184742.97195049, 0.00027461722453087686, 0.019223002312939573, 0.011015054804827826, 12.416020125530547, 870.1168027235127, 498.01703444597615
113.60000000000001, 127442112.41931519, 0.030197830810439755, 1380.550486974349, 0.1335028638977039, 15758411.583702425, 76498957.86377592, 35184742.97183683, 0.00027178360019677455, 0.019024650707372456, 0.010901396502870524, 12.41602579270963, 870.1171994218511, 498.0172617597883
113.7, 127442112.41900341, 0.0298860793049526, 1380.5511104697018, 0.13211946527638418, 15758411.583699618, 76498957.86357951, 35184742.97172429, 0.00026897780441946864, 0.01882824708019448, 0.010788854420338653, 12.416031404232285, 870.1175922242804, 498.01748684118905
113.80000000000001, 127442112.41869475, 0.029577397460635063, 1380.5517278258076, 0.13075040555427067, 15758411.58369684, 76498957.86338505, 35184742.971612856, 0.0002661996359098344, 0.018633777341315674, 0.010677420483409555, 12.416036960501083, 870.1179811589807, 498.01770970632583
113.9, 127442112.41838913, 0.02927176291228558, 1380.5523390873964, 0.129395536012853, 15758411.58369409, 76498957.86319251, 35184742.97150253, 0.0002634488933787486, 0.018441227400646194, 0.010567086618260635, 12.416042461918595, 870.1183662541317, 498.01793037134604
114.0, 127442112.41808653, 0.02896915329470244, 1380.5529442991979, 0.1280547094504542, 15758411.583691366, 76498957.86300187, 35184742.97139329, 0.00026072537553708684, 0.0182505831680961, 0.010457844751069251, 12.416047908887398, 870.1187475379132, 498.0181488523972
114.10000000000001, 127442112.41778693, 0.028669546242683946, 1380.553543505942, 0.1267277801682852, 15758411.583688669, 76498957.86281312, 35184742.971285135, 0.0002580288810957248, 0.018061830553575464, 0.01034968680801276, 12.416053301810063, 870.1191250385053, 498.0183651656266
114.2, 127442112.4174903, 0.028372919391028532, 1380.5541367523588, 0.12541460395678317, 15758411.583686, 76498957.86262625, 35184742.971178055, 0.00025535920876553923, 0.01787495546699443, 0.010242604715268564, 12.416058641089165, 870.1194987840876, 498.0185793271819
114.30000000000001, 127442112.41719663, 0.028079250374534452, 1380.5547240831777, 0.12411503808220349, 15758411.583683357, 76498957.86244124, 35184742.97107204, 0.0002527161572574054, 0.017689943818263037, 0.010136590399014008, 12.416063927127276, 870.11986880284, 498.0187913532104
114.4, 127442112.41690591, 0.02778851682800013, 1380.5553055431287, 0.12282894127345323, 15758411.58368074, 76498957.86225809, 35184742.97096709, 0.00025009952528220005, 0.017506781517291434, 0.010031635785426495, 12.41606916032697, 870.1202351229422, 498.01900125985964
