Infection,a0009,a1019,a2029,a3039,a4049,a5059,a6069,a7079,a8089,a90,cases
2021/5/6,220.70692364881887,506.66508203461797,1280.0714753017267,781.7241330797348,750.8911320501727,642.186877257577,405.5615205190772,329.69799705564304,193.17233668288438,80.02239336974719,5190.699871
2021/5/7,205.28205193700785,471.25502891062297,1190.6092239049592,727.0906206033982,698.4124911904959,597.3054116789611,377.21744176598975,306.6559047454068,179.67181543804392,74.42974982511396,4827.92974
2021/5/8,190.4390040330709,437.1806375885896,1104.5214749832298,674.517875883216,647.913336658323,554.116868135212,349.94249733952205,284.48295664199475,166.68053179502695,69.04805994181517,4478.843243
2021/5/9,180.8329155448819,415.12845394416354,1048.807410106313,640.4939718227104,615.2314137706313,526.1662091033015,332.2907635873463,270.133120752231,158.2728637030253,65.56515066539578,4252.922273
2021/5/10,177.33543219212598,407.09946844365237,1028.5224611740848,628.1061994017406,603.3322436374085,515.9896461054841,325.86393907688904,264.90848512650916,155.2117135560713,64.29705728603398,4170.666646
2021/5/11,179.0749082976378,411.0926907183588,1038.611196533278,634.2672677910484,609.2503052933278,521.0509677432242,329.06032531885614,267.5069617779527,156.7341789973477,64.92774452896808,4211.576547
2021/5/12,194.78634264845104,377.85947538263,960.0493903808957,628.319717006325,634.8270558475873,540.6875539439928,356.0237383819499,292.1072102077736,191.17115440330534,76.64199079708914,4252.473629
2021/5/13,192.27274551059273,372.9834328278982,947.6605474720305,620.2116401213998,626.6350057843372,533.7103158605094,351.4294724922638,288.33774753630087,188.70420903118307,75.6529733634849,4197.59809
2021/5/14,180.35679178263678,349.86807492801034,888.9300227505015,581.7745065297378,587.7997891059952,500.6340345028054,329.64990450545787,270.4682400897745,177.0094125736049,70.9644392314755,3937.455216
2021/5/15,161.8601866104329,313.9871326006393,797.7652404652293,522.1102530232598,527.5176089233856,449.291193568232,295.84244946910604,242.7301981834257,158.85609999925188,63.68663615703745,3533.646999
2021/5/16,143.36270073740945,278.1044818313667,706.5961174429558,462.4431586518516,467.2325584537695,397.9459079860237,262.03338471826436,214.99083555275953,140.7019230696773,56.40848655592207,3129.819555
2021/5/17,133.95388553721904,259.85263764569663,660.2226028816608,432.0932684923658,436.56834261944437,371.8289369143741,244.83627779705515,200.8811052599721,131.46773324439758,52.70642860781447,2924.411219
2021/5/18,131.44116910018025,254.97830353286633,647.838100709797,423.98803247237055,428.3791628432006,364.8541434785255,240.24362162185878,197.11296331281667,129.00165222749686,51.71775770088755,2869.554907
2021/5/19,136.65618047675804,271.41811686769967,636.1954065363527,468.5548049415971,447.8534231466031,352.1940968128725,249.2284004338498,202.41351088438617,137.4679993706794,49.52095252920143,2951.502892
